Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1961","1961","tonnes","45000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1962","1962","tonnes","45000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1963","1963","tonnes","50000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1964","1964","tonnes","50000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1965","1965","tonnes","50000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1966","1966","tonnes","48000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1967","1967","tonnes","48000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1968","1968","tonnes","48000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1969","1969","tonnes","43000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1970","1970","tonnes","43000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1971","1971","tonnes","43000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1972","1972","tonnes","45000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1973","1973","tonnes","45000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1974","1974","tonnes","45000","F","FAO estimate"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1975","1975","tonnes","45164","","Official data"
"QC","Crops","100","India","5510","Production","711","Anise, badian, fennel, coriander","1976","1976","tonnes","69869","","Official data"
